Correctness,1,2,3,4,5,6,7,8,9,Avg
J48,86.0,88.4,72.7,65.4,72.8,90.9,76.9,80.7,80.2,79.4
Kstar,86.0,91.7,76.9,65.4,72.8,91.7,82.3,82.6,80.2,81.1
Ibk,53.7,72.7,62.0,76.5,87.7,82.6,58.5,72.7,80.2,71.9
Naïve Bayes,84.3,59.5,75.2,65.4,72.8,87.6,75.4,77.6,67.9,74.0
SMO,76.9,54.5,64.5,74.1,72.8,81.8,63.8,55.9,76.5,69.0
MultiLayer Perceptron,84.3,83.5,86.0,75.3,88.9,85.1,73.1,77.0,92.6,82.9
Avg,78.5,75.1,72.9,70.4,78.0,86.6,71.7,74.4,79.6,
,,,,,,,,,,
RMSE,1,2,3,4,5,6,7,8,9,Avg
J48,0.222,0.239,0.306,0.321,0.280,0.234,0.292,0.304,0.243,0.271
Kstar,0.189,0.209,0.280,0.317,0.272,0.208,0.277,0.267,0.243,0.251
Ibk,0.439,0.347,0.427,0.284,0.245,0.281,0.415,0.333,0.290,0.340
Naïve Bayes,0.267,0.357,0.301,0.320,0.284,0.264,0.336,0.322,0.297,0.305
SMO,0.321,0.379,0.375,0.349,0.327,0.345,0.388,0.372,0.357,0.357
MultiLayer Perceptron,0.193,0.240,0.251,0.295,0.209,0.235,0.316,0.272,0.178,0.243
Avg,0.272,0.295,0.323,0.314,0.270,0.261,0.337,0.312,0.268,
