@relation balanced-nominal-inclnumcon-excl0

@attribute numactive numeric
@attribute numconnected numeric
@attribute sizeconnected numeric
@attribute npeople {1,2,3}

@data
25,2,14,2
42,2,28,3
15,4,7,2
6,1,6,1
16,1,16,1
23,2,13,2
12,2,6,2
21,2,13,2
16,1,16,3
4,1,4,1
23,3,11,2
7,1,7,1
32,3,14,2
19,5,8,1
25,2,13,3
23,3,11,2
44,2,30,3
10,2,6,2
16,1,16,1
7,2,6,1
45,2,29,3
25,2,13,3
0,0,?,1
44,2,30,3
28,3,15,3
13,1,13,1
10,3,8,1
5,1,5,2
7,2,6,1
28,2,15,2
48,2,33,3
20,3,15,1
25,2,14,3
14,2,13,1
20,3,15,1
16,2,15,1
32,3,14,2
28,3,25,3
20,3,15,1
38,3,14,3
15,1,15,1
14,2,13,1
25,2,15,2
20,3,15,1
28,3,25,3
42,2,28,3
33,2,18,2
13,1,13,2
45,2,29,3
25,2,13,3
10,3,8,1
33,4,15,2
32,3,14,2
0,0,?,2
23,2,13,2
14,2,13,1
5,2,4,2
25,2,14,2
12,2,6,2
12,1,12,1
21,2,13,2
48,2,32,3
12,2,6,2
15,4,7,3
21,2,16,3
25,2,14,3
23,2,17,3
32,3,14,2
38,3,21,2
42,3,17,3
6,1,6,1
32,3,14,3
23,2,17,3
39,2,25,3
13,1,13,1
25,2,14,3
42,3,17,3
28,3,25,3
14,2,13,1
19,4,16,3
23,2,13,2
33,2,18,3
28,3,14,1
3,3,1,1
13,1,13,1
42,2,27,3
10,3,8,1
29,3,16,1
48,2,32,3
14,1,14,3
25,2,14,2
12,2,6,2
28,3,25,3
12,1,12,1
19,4,16,3
15,4,7,3
47,2,31,3
36,6,17,2
12,1,12,1
40,2,26,3
23,2,13,2
10,3,8,1
32,3,14,2
25,2,14,2
25,2,14,2
20,3,15,1
14,1,14,1
23,2,13,2
33,2,18,3
21,3,10,2
7,2,6,1
32,3,14,2
25,2,14,2
3,3,1,1
34,3,14,3
14,1,14,1
14,2,13,1
22,2,13,2
13,1,13,1
3,3,1,1
15,4,7,2
13,2,8,2
50,1,50,2
15,4,7,2
6,1,6,1
26,2,15,2
28,3,25,3
26,2,25,3
27,2,14,2
4,2,3,1
7,2,6,1
33,3,16,2
26,2,13,2
48,2,31,3
1,1,1,1
33,3,16,2
5,2,4,2
42,2,28,3
26,2,13,2
12,1,12,2
28,3,13,2
42,3,17,3
28,3,25,3
28,3,13,2
33,2,18,3
42,2,28,3
5,1,5,2
15,4,7,2
1,1,1,1
28,3,25,3
0,0,?,2
32,3,14,2
23,2,13,2
12,1,12,1
28,3,25,3
48,2,32,3
24,3,14,2
12,2,11,1
39,3,14,3
12,2,6,2
39,3,14,3
25,2,14,3
25,3,11,2
3,3,1,1
16,1,16,1
6,1,6,2
32,3,16,3
25,2,13,3
11,2,6,2
15,4,7,3
34,4,16,2
21,1,21,1
33,3,15,2
20,3,15,1
27,2,14,2
40,2,26,3
16,2,9,2
38,3,14,3
39,3,14,3
20,3,15,1
20,3,15,1
12,1,12,1
16,2,14,1
6,1,6,1
21,2,13,2
32,3,14,2
28,3,25,3
23,2,13,2
12,1,12,1
17,3,7,3
12,1,12,1
0,0,?,1
18,3,13,1
42,2,28,3
39,2,25,3
3,3,1,1
48,2,33,3
32,3,14,2
16,3,14,1
15,1,15,1
20,3,15,1
32,3,14,2
10,2,5,2
26,2,15,2
6,1,6,1
6,1,6,1
25,2,14,3
44,1,44,3
26,2,13,2
14,2,13,1
15,4,7,3
6,1,6,1
5,1,5,2
28,3,13,2
33,2,18,3
11,2,6,2
7,1,7,1
23,2,13,2
10,2,6,2
42,2,27,3
33,2,17,3
7,1,7,1
44,2,29,3
15,4,7,2
33,3,19,1
19,4,16,3
21,1,21,3
26,2,25,3
33,2,17,3
13,2,8,2
12,1,12,1
6,1,6,1
10,1,10,1
7,1,7,1
10,2,5,2
4,1,4,1
12,1,12,1
27,2,14,2
48,2,33,3
13,2,7,2
33,3,16,2
23,3,11,2
32,3,14,2
17,2,15,1
17,3,7,3
20,3,15,1
13,1,13,1
5,1,5,2
11,2,6,2
26,2,13,2
16,3,14,1
21,2,16,3
28,3,25,3
37,2,24,3
25,2,14,2
17,3,7,3
15,4,7,2
11,2,6,2
33,3,16,2
33,3,16,2
20,3,15,1
41,3,14,3
35,3,12,3
32,3,14,3
18,1,18,1
33,1,33,2
26,2,13,1
28,3,13,2
9,1,9,1
47,2,29,3
28,3,13,2
14,2,13,1
1,1,1,1
10,2,5,2
20,3,15,1
39,3,14,3
33,2,17,3
23,2,13,2
39,3,14,3
39,3,14,3
8,1,8,2
21,1,21,1
24,3,14,2
20,3,15,1
33,3,15,2
1,1,1,1
14,2,13,1
30,3,14,2
27,2,14,2
42,2,27,3
17,2,16,1
42,2,28,3
38,3,14,3
32,3,15,2
12,2,6,2
12,1,12,2
11,1,11,1
33,3,16,2
40,2,26,3
23,3,11,2
13,1,13,2
23,2,13,2
11,1,11,1
14,2,13,2
9,1,9,1
10,2,5,2
15,1,15,1
32,3,14,2
44,1,44,3
33,3,16,2
6,1,6,1
41,3,14,3
38,3,14,3
47,2,31,3
13,1,13,1
33,2,18,3
16,3,14,1
28,3,25,3
13,1,13,1
10,3,8,1
7,1,7,1
42,3,17,3
15,4,7,3
19,2,11,2
28,3,25,3
21,3,10,2
23,3,11,2
20,3,15,1
28,3,25,3
24,2,12,2
28,3,25,3
6,1,6,1
19,2,17,1
30,2,16,3
11,2,6,2
32,3,14,2
6,1,6,1
24,2,12,2
23,2,17,3
37,2,24,3
25,2,14,3
19,4,16,3
21,1,21,3
21,1,21,3
11,2,6,2
12,2,6,3
5,2,4,2
22,2,13,2
32,3,14,2
33,2,18,3
14,1,14,3
32,3,14,2
28,3,25,3
10,2,5,2
11,2,6,2
23,2,13,2
15,2,8,2
0,0,?,1
35,3,17,2
16,3,14,1
15,2,13,1
19,5,8,1
20,3,15,1
12,2,6,3
33,3,19,1
35,3,12,3
25,2,13,3
14,1,14,3
12,1,12,1
15,4,7,3
28,4,14,2
25,2,14,2
11,1,11,1
7,1,7,1
16,2,10,2
20,3,15,1
25,3,11,2
40,2,24,2
23,2,14,2
17,2,15,1
33,2,18,2
28,3,13,2
28,3,25,3
26,2,14,3
33,2,18,2
25,2,14,3
47,2,31,2
25,2,13,3
44,2,30,3
21,2,11,1
41,3,14,3
14,2,13,1
37,2,24,3
30,2,16,2
38,3,14,3
11,1,11,1
15,4,7,2
20,3,18,1
25,2,14,3
21,1,21,3
37,2,24,3
33,2,18,3
39,3,14,3
21,1,21,1
23,3,11,2
29,2,15,2
25,2,13,2
12,1,12,1
32,3,14,2
19,2,15,1
15,4,7,3
36,5,16,2
27,2,14,2
12,2,6,3
29,3,16,1
32,3,14,3
22,2,13,2
4,2,3,1
28,2,14,1
42,2,28,3
5,1,5,1
7,2,6,1
15,3,7,2
41,3,14,3
13,1,13,1
23,2,17,3
15,4,7,2
23,2,13,2
20,3,15,1
3,3,1,1
28,3,25,3
21,1,21,3
11,2,6,2
30,2,16,3
5,1,5,2
32,3,14,3
16,1,16,1
25,2,14,3
34,3,14,3
11,1,11,1
28,2,14,1
10,3,8,1
30,2,16,3
7,1,7,1
25,2,14,2
0,0,?,1
26,2,15,2
14,2,13,1
37,2,24,3
5,1,5,2
9,1,9,1
19,2,17,1
12,2,11,1
34,3,14,3
24,3,13,2
14,2,13,1
11,2,6,2
41,3,14,3
44,1,44,3
10,2,9,2
33,2,18,2
25,2,13,3
27,4,13,1
25,2,13,3
42,2,28,3
40,2,26,3
14,2,13,1
32,3,14,2
25,2,14,3
32,3,14,2
23,3,11,2
12,2,6,2
6,1,6,1
26,2,13,2
7,1,7,1
28,1,28,1
36,3,20,2
24,2,12,2
9,1,9,1
17,2,16,1
11,1,11,1
33,3,16,2
47,2,31,3
11,1,11,1
5,1,5,2
43,3,16,3
21,2,13,2
10,3,8,1
36,4,17,2
9,1,9,1
5,1,5,2
32,3,14,3
42,2,28,3
15,1,15,1
14,1,14,3
28,3,25,3
33,2,18,2
7,1,7,1
39,3,14,3
6,1,6,2
15,4,7,2
25,2,14,2
15,4,7,3
10,3,8,1
21,2,13,2
22,2,12,2
48,2,33,3
14,1,14,3
23,3,10,1
9,1,9,1
11,2,6,2
42,2,27,3
26,2,14,3
36,3,20,2
40,2,26,3
14,2,13,1
10,2,5,1
3,3,1,1
20,2,12,2
33,2,18,3
28,3,25,3
20,3,15,1
47,2,29,3
11,1,11,1
0,0,?,2
0,0,?,2
25,2,14,2
38,2,26,3
28,3,25,3
12,1,12,1
40,2,24,2
19,4,16,3
10,2,9,2
7,2,6,1
28,3,14,1
44,2,29,3
1,1,1,1
12,2,6,2
11,2,6,2
10,2,5,2
21,2,16,3
3,3,1,1
20,2,15,1
3,3,1,1
6,1,6,1
1,1,1,1
29,3,16,1
38,2,24,2
7,1,7,1
30,2,16,3
14,2,13,1
25,2,14,3
7,1,7,1
7,1,7,1
23,2,13,2
33,2,18,2
22,2,12,2
5,1,5,1
7,1,7,1
14,2,13,1
12,2,6,2
33,3,16,2
0,0,?,1
7,1,7,1
42,2,28,3
14,1,14,3
39,3,14,3
41,3,14,3
0,0,?,1
23,3,11,2
30,2,16,3
11,2,6,2
34,3,14,3
13,2,7,2
6,1,6,1
14,2,13,1
11,2,6,2
12,1,12,1
12,2,6,3
20,2,12,2
44,1,44,3
15,4,7,2
15,4,7,3
33,2,17,3
26,2,13,2
