@relation set1-balanced-numeric-exclnumcon-excl0-excl3

@attribute numactive numeric
@attribute sizeconnected numeric
@attribute npeople numeric

@data
6,6,1
16,16,1
4,4,1
7,7,1
19,8,1
16,16,1
7,6,1
0,?,1
13,13,1
10,8,1
7,6,1
20,15,1
14,13,1
20,15,1
16,15,1
20,15,1
15,15,1
14,13,1
20,15,1
10,8,1
14,13,1
12,12,1
6,6,1
13,13,1
14,13,1
28,14,1
3,1,1
13,13,1
10,8,1
29,16,1
12,12,1
12,12,1
10,8,1
20,15,1
14,14,1
7,6,1
3,1,1
14,14,1
14,13,1
13,13,1
3,1,1
6,6,1
4,3,1
7,6,1
1,1,1
1,1,1
12,12,1
12,11,1
3,1,1
16,16,1
21,21,1
20,15,1
20,15,1
20,15,1
12,12,1
16,14,1
6,6,1
12,12,1
12,12,1
0,?,1
18,13,1
3,1,1
16,14,1
15,15,1
20,15,1
6,6,1
6,6,1
14,13,1
6,6,1
7,7,1
7,7,1
33,19,1
12,12,1
6,6,1
10,10,1
7,7,1
4,4,1
12,12,1
17,15,1
20,15,1
13,13,1
16,14,1
20,15,1
18,18,1
26,13,1
9,9,1
14,13,1
1,1,1
20,15,1
21,21,1
20,15,1
1,1,1
14,13,1
17,16,1
11,11,1
11,11,1
9,9,1
15,15,1
6,6,1
13,13,1
16,14,1
13,13,1
10,8,1
7,7,1
20,15,1
6,6,1
19,17,1
6,6,1
0,?,1
16,14,1
15,13,1
19,8,1
20,15,1
33,19,1
12,12,1
11,11,1
7,7,1
20,15,1
17,15,1
21,11,1
14,13,1
11,11,1
20,18,1
21,21,1
12,12,1
19,15,1
29,16,1
4,3,1
28,14,1
5,5,1
7,6,1
13,13,1
20,15,1
3,1,1
16,16,1
11,11,1
28,14,1
10,8,1
7,7,1
0,?,1
14,13,1
9,9,1
19,17,1
12,11,1
14,13,1
27,13,1
14,13,1
6,6,1
7,7,1
28,28,1
9,9,1
17,16,1
11,11,1
11,11,1
10,8,1
9,9,1
15,15,1
7,7,1
10,8,1
23,10,1
9,9,1
14,13,1
10,5,1
3,1,1
20,15,1
11,11,1
12,12,1
7,6,1
28,14,1
1,1,1
3,1,1
20,15,1
3,1,1
6,6,1
1,1,1
29,16,1
7,7,1
14,13,1
7,7,1
7,7,1
5,5,1
7,7,1
14,13,1
0,?,1
7,7,1
0,?,1
6,6,1
14,13,1
12,12,1
25,14,2
15,7,2
23,13,2
12,6,2
21,13,2
23,11,2
32,14,2
23,11,2
10,6,2
5,5,2
28,15,2
32,14,2
25,15,2
33,18,2
13,13,2
33,15,2
32,14,2
0,?,2
23,13,2
5,4,2
25,14,2
12,6,2
21,13,2
12,6,2
32,14,2
38,21,2
23,13,2
25,14,2
12,6,2
36,17,2
23,13,2
32,14,2
25,14,2
25,14,2
23,13,2
21,10,2
32,14,2
25,14,2
22,13,2
15,7,2
13,8,2
50,50,2
15,7,2
26,15,2
27,14,2
33,16,2
26,13,2
33,16,2
5,4,2
26,13,2
12,12,2
28,13,2
28,13,2
5,5,2
15,7,2
0,?,2
32,14,2
23,13,2
24,14,2
12,6,2
25,11,2
6,6,2
11,6,2
34,16,2
33,15,2
27,14,2
16,9,2
21,13,2
32,14,2
23,13,2
32,14,2
32,14,2
10,5,2
26,15,2
26,13,2
5,5,2
28,13,2
11,6,2
23,13,2
10,6,2
15,7,2
13,8,2
10,5,2
27,14,2
13,7,2
33,16,2
23,11,2
32,14,2
5,5,2
11,6,2
26,13,2
25,14,2
15,7,2
11,6,2
33,16,2
33,16,2
33,33,2
28,13,2
28,13,2
10,5,2
23,13,2
8,8,2
24,14,2
33,15,2
30,14,2
27,14,2
32,15,2
12,6,2
12,12,2
33,16,2
23,11,2
13,13,2
23,13,2
14,13,2
10,5,2
32,14,2
33,16,2
19,11,2
21,10,2
23,11,2
24,12,2
11,6,2
32,14,2
24,12,2
11,6,2
5,4,2
22,13,2
32,14,2
32,14,2
10,5,2
11,6,2
23,13,2
15,8,2
35,17,2
28,14,2
25,14,2
16,10,2
25,11,2
40,24,2
23,14,2
33,18,2
28,13,2
33,18,2
47,31,2
30,16,2
15,7,2
23,11,2
29,15,2
25,13,2
32,14,2
36,16,2
27,14,2
22,13,2
15,7,2
15,7,2
23,13,2
11,6,2
5,5,2
25,14,2
26,15,2
5,5,2
24,13,2
11,6,2
10,9,2
33,18,2
32,14,2
32,14,2
23,11,2
12,6,2
26,13,2
36,20,2
24,12,2
33,16,2
5,5,2
21,13,2
36,17,2
5,5,2
33,18,2
6,6,2
15,7,2
25,14,2
21,13,2
22,12,2
11,6,2
36,20,2
20,12,2
0,?,2
0,?,2
25,14,2
40,24,2
10,9,2
12,6,2
11,6,2
10,5,2
38,24,2
23,13,2
33,18,2
22,12,2
12,6,2
33,16,2
23,11,2
11,6,2
13,7,2
11,6,2
20,12,2
15,7,2
