@relation classification-expset-1-combined-exp-all-data-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute numactive numeric
@attribute sizeconnected numeric
@attribute npeople numeric

@data
7,7,1
1,1,1
2,1,0
15,7,3
28,25,3
5,5,1
10,5,2
17,7,3
?,?,0
0,?,0
47,31,3
16,9,2
2,2,0
21,12,2
0,?,0
?,?,0
0,?,0
33,15,2
0,?,0
1,1,0
16,15,0
2,2,0
5,5,2
0,?,2
0,?,0
20,15,1
10,5,1
28,25,3
47,29,3
3,1,1
14,14,1
47,31,3
1,1,0
25,14,2
15,7,3
?,?,0
42,17,3
34,14,3
45,29,3
27,14,2
33,15,2
42,28,3
23,13,2
39,23,3
26,13,2
?,?,0
14,13,1
22,12,2
15,7,2
1,1,0
9,9,1
21,16,3
28,15,2
32,14,3
6,6,1
11,11,1
30,16,3
18,14,1
45,29,3
26,14,3
41,14,3
21,13,2
12,6,2
0,?,0
32,14,2
27,14,2
10,8,0
7,7,1
0,?,0
11,6,2
25,14,3
10,6,2
30,16,3
21,16,3
35,12,3
32,16,3
0,?,0
39,14,3
4,3,0
0,?,0
33,18,2
6,6,1
18,18,1
13,13,1
0,?,1
0,?,0
30,16,2
42,27,3
15,7,3
22,11,3
1,1,1
?,?,0
11,6,2
5,5,1
11,6,2
0,?,0
18,13,1
25,15,2
6,6,1
47,29,3
1,1,0
0,?,1
48,32,3
18,13,1
14,13,2
30,16,2
0,?,0
9,9,1
5,4,2
1,1,0
27,14,2
36,17,2
0,?,0
36,23,2
15,15,1
15,7,2
20,15,1
17,13,0
0,?,1
0,?,0
0,?,1
10,9,2
19,11,2
21,16,3
10,5,0
?,?,0
38,14,3
3,1,1
?,?,0
0,?,0
23,11,2
?,?,0
?,?,0
1,1,0
5,5,2
?,?,0
28,25,3
12,6,3
5,5,2
21,16,3
0,?,0
26,13,2
21,13,2
34,14,3
?,?,0
0,?,0
14,13,2
48,32,3
21,13,2
11,11,1
?,?,0
11,6,2
39,14,3
12,12,1
0,?,0
13,13,1
0,?,0
28,25,3
11,11,1
28,25,3
2,1,0
11,6,2
15,7,3
1,1,0
10,8,1
19,17,1
14,13,2
?,?,0
0,?,0
0,?,0
19,8,1
25,13,3
26,15,2
36,23,2
33,16,2
7,3,0
15,7,2
37,24,3
28,25,3
2,1,0
44,44,3
32,14,3
9,9,1
12,12,1
7,6,1
28,13,2
11,6,2
33,18,2
21,16,3
3,1,1
11,6,2
25,13,2
12,6,2
33,18,2
23,11,2
42,28,3
6,6,1
11,11,1
34,14,3
26,14,3
15,15,1
42,28,3
7,6,1
0,?,0
1,1,0
25,14,2
0,?,1
11,6,2
34,14,3
33,15,2
7,7,1
16,14,1
27,14,2
0,?,0
48,31,3
26,16,2
15,8,2
39,23,3
19,16,3
5,5,2
21,11,1
44,29,3
0,?,0
27,14,2
39,14,3
0,?,1
13,13,1
?,?,0
0,?,0
0,?,0
10,5,2
1,1,0
3,1,0
?,?,0
28,25,3
9,9,1
13,13,1
?,?,0
12,12,1
10,9,2
15,7,2
6,6,1
48,33,3
48,31,3
25,14,3
25,14,3
33,18,3
12,6,3
0,?,0
39,23,3
33,18,3
38,26,3
?,?,0
1,1,0
32,15,2
12,6,2
23,21,2
28,25,3
35,12,3
12,6,2
15,7,3
23,11,2
20,12,2
0,?,0
6,6,1
4,3,1
10,8,1
20,15,1
7,7,1
4,3,0
12,6,2
7,7,1
39,25,3
10,10,1
0,?,0
28,25,3
32,14,2
13,13,1
13,13,1
14,7,2
10,5,2
13,13,1
20,15,1
1,1,0
20,15,1
?,?,0
0,?,0
45,29,3
15,7,3
9,9,1
0,?,0
3,1,1
5,5,2
33,16,2
1,1,0
25,14,2
13,13,1
1,1,1
33,15,2
13,8,2
37,24,3
44,30,3
0,?,0
44,30,3
21,13,2
12,6,2
9,9,1
8,8,1
1,1,0
0,?,0
30,16,3
0,?,1
0,?,0
32,14,2
1,1,0
0,?,0
42,28,3
41,14,3
28,25,3
2,1,0
3,1,1
21,21,3
25,14,3
9,9,1
0,?,0
33,18,3
0,?,1
14,14,3
9,9,1
21,13,2
18,11,2
?,?,0
26,13,2
42,28,3
48,33,3
33,18,3
7,7,1
26,25,3
0,?,0
24,12,2
19,17,0
21,19,3
14,13,1
20,15,1
33,17,2
44,29,3
32,14,2
22,11,3
0,?,0
11,11,1
12,6,2
28,15,3
35,12,3
12,6,2
33,18,3
25,13,2
25,13,3
40,26,3
28,25,3
26,25,3
14,14,3
9,9,1
2,1,0
0,?,1
0,?,0
39,23,3
?,?,0
22,11,3
28,15,3
0,?,0
0,?,0
10,5,2
44,29,3
2,1,0
23,13,2
19,16,3
33,18,3
47,29,3
10,5,2
1,1,0
22,21,1
11,11,1
39,14,3
7,7,1
26,13,2
0,?,0
24,14,2
15,7,2
28,25,3
37,24,3
0,?,2
33,18,3
1,1,1
1,1,0
37,24,3
42,28,3
4,3,1
23,13,2
4,3,0
40,26,3
26,13,2
0,?,0
0,?,0
34,14,3
44,30,3
6,6,1
33,18,3
11,11,1
36,16,2
10,6,2
17,13,2
20,15,1
0,?,0
0,?,0
1,1,0
8,8,2
?,?,0
1,1,0
12,12,1
14,13,1
0,?,0
1,1,0
28,15,3
15,7,2
7,7,1
30,16,3
10,8,1
23,13,2
48,32,3
?,?,0
34,14,3
13,13,1
7,6,1
2,2,0
10,8,0
47,31,3
0,?,0
2,1,0
1,1,0
0,?,0
25,14,2
33,17,3
0,?,0
28,25,3
42,17,3
1,1,1
6,6,1
48,31,3
42,17,3
13,13,2
44,29,3
30,16,3
20,15,1
3,1,0
21,21,3
14,13,1
28,25,3
0,?,1
23,11,2
33,16,2
1,1,0
2,1,0
21,12,2
33,17,3
12,6,3
1,1,0
21,21,3
35,18,2
0,?,0
28,13,2
25,13,3
1,1,0
0,?,0
5,5,2
38,14,3
0,?,0
0,?,0
9,9,1
9,9,1
16,16,3
40,26,3
0,?,1
?,?,0
0,?,0
23,14,2
0,?,1
47,32,2
38,26,3
16,16,3
0,?,0
14,13,2
42,27,3
0,?,1
1,1,0
26,15,2
33,16,2
0,?,0
42,28,3
33,18,3
1,1,0
26,13,2
14,13,2
25,14,3
2,1,0
7,7,1
25,14,3
15,7,3
32,14,3
9,9,1
?,?,0
6,6,1
19,16,3
0,?,1
1,1,0
?,?,0
0,?,0
39,25,3
38,14,3
0,?,0
33,18,3
39,25,3
11,6,2
32,14,3
22,11,3
1,1,1
3,1,1
33,18,3
3,1,0
35,12,3
10,8,1
?,?,0
?,?,0
0,?,1
25,14,3
14,14,1
23,13,2
7,6,1
2,1,0
0,?,0
0,?,2
7,7,1
25,14,3
1,1,0
39,23,3
23,13,2
0,?,0
5,5,2
0,?,0
42,27,3
12,6,2
0,?,1
0,?,0
4,3,0
28,13,2
33,18,2
42,17,3
13,13,1
12,6,3
1,1,0
12,12,1
7,6,1
44,30,3
0,?,1
23,11,2
12,6,3
2,1,0
11,11,1
10,8,1
32,14,3
16,9,2
42,28,3
33,18,3
33,18,3
10,8,1
9,9,1
13,13,1
?,?,0
0,?,0
1,1,0
23,13,2
33,18,3
0,?,0
0,?,1
26,13,2
9,9,1
11,6,2
33,18,3
19,17,1
7,7,1
0,?,0
44,30,3
29,15,2
3,1,1
1,1,0
1,1,0
33,18,3
34,14,3
25,14,2
48,32,3
26,13,2
21,15,2
18,18,1
18,18,1
23,14,2
?,?,0
30,16,2
1,1,0
1,1,0
10,8,1
0,?,0
23,13,2
19,16,3
33,18,3
43,16,3
11,11,1
39,14,3
12,8,2
1,1,0
44,30,3
21,19,3
2,1,0
0,?,1
2,1,0
0,?,2
0,?,0
15,7,3
38,14,3
16,16,1
4,3,1
1,1,0
28,25,3
10,9,1
44,44,3
25,14,3
14,14,1
0,?,0
10,5,2
0,?,1
13,13,1
2,1,0
37,24,3
32,16,3
21,16,3
33,19,1
14,14,1
0,?,0
33,18,3
0,?,0
33,18,3
0,?,1
44,44,3
15,7,2
30,16,3
0,?,0
23,13,2
11,6,2
0,?,0
32,14,2
15,7,2
7,7,1
16,15,1
3,1,1
17,13,0
0,?,1
34,14,3
6,6,2
1,1,0
0,?,0
21,13,2
39,14,3
32,16,3
12,6,2
33,16,2
5,5,2
28,25,3
20,15,1
11,11,1
0,?,0
23,11,2
?,?,0
0,?,0
16,9,2
23,17,3
21,13,2
33,17,2
24,13,2
48,33,3
?,?,0
44,44,3
28,25,3
12,6,3
33,18,2
1,1,0
21,11,1
25,14,3
18,18,1
28,25,3
12,12,1
0,?,0
?,?,0
19,17,1
0,?,0
28,25,3
15,7,2
32,14,2
25,13,3
33,18,3
33,17,3
19,8,1
0,?,0
47,29,3
13,13,1
33,33,2
8,8,1
33,18,3
22,11,3
9,9,1
?,?,0
6,6,1
2,1,0
10,8,1
44,29,3
5,5,2
28,25,3
5,4,2
?,?,0
42,28,3
33,18,3
0,?,0
0,?,0
?,?,0
7,6,1
0,?,0
?,?,0
0,?,1
22,11,3
1,1,0
0,?,2
9,9,1
0,?,1
?,?,0
0,?,0
25,14,3
44,44,3
14,14,3
15,7,2
44,30,3
33,18,3
33,18,2
30,14,2
39,14,2
13,13,1
18,18,1
14,14,3
10,5,1
4,3,1
15,7,3
11,11,1
47,31,3
17,13,2
0,?,1
28,15,2
25,14,2
20,15,1
23,11,2
11,6,2
18,18,1
1,1,0
42,28,3
33,18,2
38,14,3
4,4,1
28,25,3
10,8,1
26,25,3
22,12,2
33,18,3
43,16,3
25,14,2
30,16,3
16,13,0
26,15,2
42,17,3
0,?,0
7,7,1
32,16,3
21,21,3
41,14,3
11,11,1
39,14,3
0,?,1
11,6,2
7,7,1
12,12,1
0,?,0
1,1,0
12,12,1
36,16,2
10,9,2
10,9,2
14,14,1
35,18,2
9,9,1
18,18,1
6,6,1
?,?,0
27,14,2
13,8,2
23,13,2
13,13,2
10,8,1
38,14,3
23,11,2
16,15,0
6,6,1
10,9,2
33,18,3
39,14,3
32,14,2
15,15,1
?,?,0
28,25,3
7,7,1
10,5,2
0,?,0
15,7,3
38,26,3
3,1,1
33,18,3
0,?,2
47,32,2
25,14,2
1,1,1
7,3,0
22,21,1
32,14,2
26,13,2
12,6,2
23,13,2
23,15,2
?,?,0
22,21,1
9,9,1
0,?,0
?,?,0
0,?,0
6,6,2
16,16,3
3,1,1
23,10,1
1,1,0
?,?,0
0,?,0
5,5,2
12,6,2
32,14,3
33,18,2
19,8,1
?,?,0
19,17,0
39,25,3
30,14,2
15,7,3
38,14,3
25,14,3
0,?,0
38,26,3
2,2,0
28,13,2
23,14,2
22,13,2
18,18,2
16,16,1
4,4,1
10,8,1
0,?,1
23,11,2
44,29,3
28,13,2
7,6,1
20,20,1
?,?,0
15,7,2
40,26,3
10,5,2
21,21,3
?,?,0
?,?,0
15,7,3
26,14,3
9,9,1
12,12,1
?,?,0
32,16,3
12,12,1
44,30,3
7,6,1
9,9,1
0,?,0
38,26,3
10,8,1
0,?,1
5,5,2
18,13,1
48,33,3
0,?,1
26,25,3
10,5,2
14,14,2
0,?,0
4,3,1
7,7,1
15,13,1
14,14,1
20,15,1
26,25,3
35,12,3
7,6,1
0,?,0
17,13,0
5,5,1
0,?,0
22,19,1
21,10,2
3,1,1
0,?,0
1,1,0
38,14,3
39,14,3
23,17,3
42,28,3
0,?,0
48,33,3
32,16,3
21,13,2
23,13,2
6,6,1
12,12,1
28,14,1
1,1,0
15,7,2
15,7,3
2,1,0
12,12,1
16,15,1
12,6,3
17,13,0
0,?,0
7,6,1
32,14,2
25,13,2
10,5,2
21,13,2
38,14,3
15,7,3
12,12,1
7,7,1
25,14,3
0,?,0
7,7,1
28,25,3
16,10,2
48,31,3
0,?,2
15,7,2
20,15,1
2,1,0
25,14,2
1,1,0
39,23,3
25,14,3
7,7,1
26,14,3
33,17,3
28,15,3
12,12,2
33,18,3
11,11,1
?,?,0
0,?,0
16,16,3
0,?,2
?,?,0
32,14,2
44,29,3
3,3,1
0,?,0
23,11,2
39,23,3
0,?,2
16,9,2
6,6,1
25,13,3
15,8,2
19,17,1
1,1,0
41,14,3
8,8,1
19,16,3
33,18,2
33,18,2
2,1,0
27,14,2
0,?,2
32,16,3
?,?,0
15,7,3
?,?,0
16,10,2
1,1,0
16,15,0
28,15,3
5,5,2
34,14,3
23,13,2
0,?,1
?,?,0
24,12,2
