@relation classification-expset-1-combined-exp-all-data-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute numactive numeric
@attribute numconnected numeric
@attribute sizeconnected numeric
@attribute npeople {0,1,2,3}

@data
7,1,7,1
1,1,1,1
2,2,1,0
15,4,7,3
28,3,25,3
5,1,5,1
10,2,5,2
17,3,7,3
?,?,?,0
0,0,?,0
47,2,31,3
16,2,9,2
2,1,2,0
21,2,12,2
0,0,?,0
?,?,?,0
0,0,?,0
33,4,15,2
0,0,?,0
1,1,1,0
16,2,15,0
2,1,2,0
5,1,5,2
0,0,?,2
0,0,?,0
20,3,15,1
10,2,5,1
28,3,25,3
47,2,29,3
3,3,1,1
14,1,14,1
47,2,31,3
1,1,1,0
25,2,14,2
15,4,7,3
?,?,?,0
42,3,17,3
34,3,14,3
45,2,29,3
27,2,14,2
33,3,15,2
42,2,28,3
23,2,13,2
39,2,23,3
26,2,13,2
?,?,?,0
14,2,13,1
22,2,12,2
15,4,7,2
1,1,1,0
9,1,9,1
21,2,16,3
28,2,15,2
32,3,14,3
6,1,6,1
11,1,11,1
30,2,16,3
18,3,14,1
45,2,29,3
26,2,14,3
41,3,14,3
21,2,13,2
12,2,6,2
0,0,?,0
32,3,14,2
27,2,14,2
10,3,8,0
7,1,7,1
0,0,?,0
11,2,6,2
25,2,14,3
10,2,6,2
30,2,16,3
21,2,16,3
35,3,12,3
32,3,16,3
0,0,?,0
39,3,14,3
4,2,3,0
0,0,?,0
33,2,18,2
6,1,6,1
18,1,18,1
13,1,13,1
0,0,?,1
0,0,?,0
30,2,16,2
42,2,27,3
15,4,7,3
22,3,11,3
1,1,1,1
?,?,?,0
11,2,6,2
5,1,5,1
11,2,6,2
0,0,?,0
18,3,13,1
25,2,15,2
6,1,6,1
47,2,29,3
1,1,1,0
0,0,?,1
48,2,32,3
18,3,13,1
14,2,13,2
30,2,16,2
0,0,?,0
9,1,9,1
5,2,4,2
1,1,1,0
27,2,14,2
36,4,17,2
0,0,?,0
36,2,23,2
15,1,15,1
15,4,7,2
20,3,15,1
17,3,13,0
0,0,?,1
0,0,?,0
0,0,?,1
10,2,9,2
19,2,11,2
21,2,16,3
10,2,5,0
?,?,?,0
38,3,14,3
3,3,1,1
?,?,?,0
0,0,?,0
23,3,11,2
?,?,?,0
?,?,?,0
1,1,1,0
5,1,5,2
?,?,?,0
28,3,25,3
12,2,6,3
5,1,5,2
21,2,16,3
0,0,?,0
26,2,13,2
21,2,13,2
34,3,14,3
?,?,?,0
0,0,?,0
14,2,13,2
48,2,32,3
21,2,13,2
11,1,11,1
?,?,?,0
11,2,6,2
39,3,14,3
12,1,12,1
0,0,?,0
13,1,13,1
0,0,?,0
28,3,25,3
11,1,11,1
28,3,25,3
2,2,1,0
11,2,6,2
15,4,7,3
1,1,1,0
10,3,8,1
19,2,17,1
14,2,13,2
?,?,?,0
0,0,?,0
0,0,?,0
19,5,8,1
25,2,13,3
26,2,15,2
36,2,23,2
33,3,16,2
7,5,3,0
15,4,7,2
37,2,24,3
28,3,25,3
2,2,1,0
44,1,44,3
32,3,14,3
9,1,9,1
12,1,12,1
7,2,6,1
28,3,13,2
11,2,6,2
33,2,18,2
21,2,16,3
3,3,1,1
11,2,6,2
25,2,13,2
12,2,6,2
33,2,18,2
23,3,11,2
42,2,28,3
6,1,6,1
11,1,11,1
34,3,14,3
26,2,14,3
15,1,15,1
42,2,28,3
7,2,6,1
0,0,?,0
1,1,1,0
25,2,14,2
0,0,?,1
11,2,6,2
34,3,14,3
33,3,15,2
7,1,7,1
16,3,14,1
27,2,14,2
0,0,?,0
48,2,31,3
26,2,16,2
15,2,8,2
39,2,23,3
19,4,16,3
5,1,5,2
21,2,11,1
44,2,29,3
0,0,?,0
27,2,14,2
39,3,14,3
0,0,?,1
13,1,13,1
?,?,?,0
0,0,?,0
0,0,?,0
10,2,5,2
1,1,1,0
3,3,1,0
?,?,?,0
28,3,25,3
9,1,9,1
13,1,13,1
?,?,?,0
12,1,12,1
10,2,9,2
15,4,7,2
6,1,6,1
48,2,33,3
48,2,31,3
25,2,14,3
25,2,14,3
33,2,18,3
12,2,6,3
0,0,?,0
39,2,23,3
33,2,18,3
38,2,26,3
?,?,?,0
1,1,1,0
32,3,15,2
12,2,6,2
23,3,21,2
28,3,25,3
35,3,12,3
12,2,6,2
15,4,7,3
23,3,11,2
20,2,12,2
0,0,?,0
6,1,6,1
4,2,3,1
10,3,8,1
20,3,15,1
7,1,7,1
4,2,3,0
12,2,6,2
7,1,7,1
39,2,25,3
10,1,10,1
0,0,?,0
28,3,25,3
32,3,14,2
13,1,13,1
13,1,13,1
14,3,7,2
10,2,5,2
13,1,13,1
20,3,15,1
1,1,1,0
20,3,15,1
?,?,?,0
0,0,?,0
45,2,29,3
15,4,7,3
9,1,9,1
0,0,?,0
3,3,1,1
5,1,5,2
33,3,16,2
1,1,1,0
25,2,14,2
13,1,13,1
1,1,1,1
33,4,15,2
13,2,8,2
37,2,24,3
44,2,30,3
0,0,?,0
44,2,30,3
21,2,13,2
12,3,6,2
9,1,9,1
8,1,8,1
1,1,1,0
0,0,?,0
30,2,16,3
0,0,?,1
0,0,?,0
32,3,14,2
1,1,1,0
0,0,?,0
42,2,28,3
41,3,14,3
28,3,25,3
2,2,1,0
3,3,1,1
21,1,21,3
25,2,14,3
9,1,9,1
0,0,?,0
33,2,18,3
0,0,?,1
14,1,14,3
9,1,9,1
21,2,13,2
18,2,11,2
?,?,?,0
26,2,13,2
42,2,28,3
48,2,33,3
33,2,18,3
7,1,7,1
26,2,25,3
0,0,?,0
24,2,12,2
19,2,17,0
21,3,19,3
14,2,13,1
20,3,15,1
33,3,17,2
44,2,29,3
32,3,14,2
22,3,11,3
0,0,?,0
11,1,11,1
12,2,6,2
28,3,15,3
35,3,12,3
12,3,6,2
33,2,18,3
25,2,13,2
25,2,13,3
40,2,26,3
28,3,25,3
26,2,25,3
14,1,14,3
9,1,9,1
2,2,1,0
0,0,?,1
0,0,?,0
39,2,23,3
?,?,?,0
22,3,11,3
28,3,15,3
0,0,?,0
0,0,?,0
10,2,5,2
44,2,29,3
2,2,1,0
23,2,13,2
19,4,16,3
33,2,18,3
47,2,29,3
10,2,5,2
1,1,1,0
22,2,21,1
11,1,11,1
39,3,14,3
7,1,7,1
26,2,13,2
0,0,?,0
24,2,14,2
15,4,7,2
28,3,25,3
37,2,24,3
0,0,?,2
33,2,18,3
1,1,1,1
1,1,1,0
37,2,24,3
42,2,28,3
4,2,3,1
23,2,13,2
4,2,3,0
40,2,26,3
26,2,13,2
0,0,?,0
0,0,?,0
34,3,14,3
44,2,30,3
6,1,6,1
33,2,18,3
11,1,11,1
36,5,16,2
10,2,6,2
17,3,13,2
20,3,15,1
0,0,?,0
0,0,?,0
1,1,1,0
8,1,8,2
?,?,?,0
1,1,1,0
12,1,12,1
14,2,13,1
0,0,?,0
1,1,1,0
28,3,15,3
15,3,7,2
7,1,7,1
30,2,16,3
10,3,8,1
23,2,13,2
48,2,32,3
?,?,?,0
34,3,14,3
13,1,13,1
7,2,6,1
2,1,2,0
10,3,8,0
47,2,31,3
0,0,?,0
2,2,1,0
1,1,1,0
0,0,?,0
25,2,14,2
33,2,17,3
0,0,?,0
28,3,25,3
42,3,17,3
1,1,1,1
6,1,6,1
48,2,31,3
42,3,17,3
13,1,13,2
44,2,29,3
30,2,16,3
20,3,15,1
3,3,1,0
21,1,21,3
14,2,13,1
28,3,25,3
0,0,?,1
23,3,11,2
33,3,16,2
1,1,1,0
2,2,1,0
21,2,12,2
33,2,17,3
12,2,6,3
1,1,1,0
21,1,21,3
35,4,18,2
0,0,?,0
28,3,13,2
25,2,13,3
1,1,1,0
0,0,?,0
5,1,5,2
38,3,14,3
0,0,?,0
0,0,?,0
9,1,9,1
9,1,9,1
16,1,16,3
40,2,26,3
0,0,?,1
?,?,?,0
0,0,?,0
23,2,14,2
0,0,?,1
47,2,32,2
38,2,26,3
16,1,16,3
0,0,?,0
14,2,13,2
42,2,27,3
0,0,?,1
1,1,1,0
26,2,15,2
33,3,16,2
0,0,?,0
42,2,28,3
33,2,18,3
1,1,1,0
26,2,13,2
14,2,13,2
25,2,14,3
2,2,1,0
7,1,7,1
25,2,14,3
15,4,7,3
32,3,14,3
9,1,9,1
?,?,?,0
6,1,6,1
19,4,16,3
0,0,?,1
1,1,1,0
?,?,?,0
0,0,?,0
39,2,25,3
38,3,14,3
0,0,?,0
33,2,18,3
39,2,25,3
11,2,6,2
