numpeople,numactive,numconnected,sizeconnected,,inst#,actual,predicted,error,prediction,,Nact corr,Nact incor
1,1,1,1,,1,1,1,,0.864,,1,#N/A
1,1,1,1,,2,1,1,,0.864,,,
1,1,1,1,,3,1,1,,0.864,,,
1,1,1,1,,4,1,1,,0.864,,,
1,0,0,?,,5,1,1,,0.518,,,
1,10,1,10,,6,1,1,,0.919,,,
1,7,1,7,,7,1,1,,0.871,,,
1,7,1,7,,8,1,1,,0.871,,,
1,7,1,7,,9,1,1,,0.871,,,
1,7,1,7,,10,1,1,,0.871,,,
1,7,1,7,,11,1,1,,0.871,,,
1,7,1,7,,12,1,1,,0.871,,,
1,7,1,7,,13,1,1,,0.871,,,
1,7,1,7,,14,1,1,,0.871,,,
1,7,1,7,,15,1,1,,0.871,,,
1,7,1,7,,16,1,1,,0.871,,,
1,7,1,7,,17,1,1,,0.871,,,
1,7,1,7,,18,1,1,,0.871,,,
1,7,1,7,,19,1,1,,0.871,,,
1,7,1,7,,20,1,1,,0.871,,,
1,7,1,7,,21,1,1,,0.871,,,
1,3,1,3,,22,1,1,,0.699,,,
1,4,2,3,,23,1,1,,0.762,,,
1,4,2,3,,24,1,1,,0.762,,,
1,4,2,3,,25,1,1,,0.762,,,
1,0,0,?,,26,1,1,,0.518,,,
1,9,1,9,,27,1,1,,0.938,,,
1,9,1,9,,28,1,1,,0.938,,,
1,9,1,9,,29,1,1,,0.938,,,
1,9,1,9,,30,1,1,,0.938,,,
1,9,1,9,,31,1,1,,0.938,,,
1,9,1,9,,32,1,1,,0.938,,,
1,9,1,9,,33,1,1,,0.938,,,
1,9,1,9,,34,1,1,,0.938,,,
1,9,1,9,,35,1,1,,0.938,,,
1,9,1,9,,36,1,1,,0.938,,,
1,9,1,9,,37,1,1,,0.938,,,
1,9,1,9,,38,1,1,,0.938,,,
1,9,1,9,,39,1,1,,0.938,,,
1,5,1,5,,40,1,2,+,0.545,,,
1,4,1,4,,41,1,1,,0.571,,,
1,4,1,4,,42,1,1,,0.571,,,
1,5,1,5,,43,1,2,+,0.545,,,
1,5,1,5,,44,1,2,+,0.545,,,
2,5,1,5,,45,2,2,,0.545,,,
2,5,1,5,,46,2,2,,0.545,,,
2,5,1,5,,47,2,2,,0.545,,,
2,5,1,5,,48,2,2,,0.545,,,
2,5,1,5,,49,2,2,,0.545,,,
2,5,1,5,,50,2,2,,0.545,,,
2,5,1,5,,51,2,2,,0.545,,,
2,5,1,5,,52,2,2,,0.545,,,
2,5,1,5,,53,2,2,,0.545,,,
2,5,1,5,,54,2,2,,0.545,,,
2,5,1,5,,55,2,2,,0.545,,,
2,5,1,5,,56,2,2,,0.545,,,
2,15,2,8,,57,2,2,,0.922,,,
2,12,1,12,,58,2,1,+,0.794,,,
2,11,2,6,,59,2,2,,0.932,,,
2,14,3,7,,60,2,2,,0.822,,,
2,12,2,6,,61,2,2,,0.93,,,
2,12,2,6,,62,2,2,,0.93,,,
2,13,2,7,,63,2,2,,0.947,,,
2,12,2,6,,64,2,2,,0.93,,,
2,8,2,6,,65,2,1,+,0.513,,,
1,6,1,6,,66,1,1,,0.74,,,
1,6,1,6,,67,1,1,,0.74,,,
1,6,1,6,,68,1,1,,0.74,,,
1,7,1,7,,69,1,1,,0.871,,,
1,7,1,7,,70,1,1,,0.871,,,
1,8,1,8,,71,1,1,,0.846,,,
1,6,1,6,,72,1,1,,0.74,,,
1,7,1,7,,73,1,1,,0.871,,,
1,7,1,7,,74,1,1,,0.871,,,
1,10,3,8,,75,1,1,,0.896,,,
1,10,3,8,,76,1,1,,0.896,,,
1,10,3,8,,77,1,1,,0.896,,,
1,10,3,8,,78,1,1,,0.896,,,
1,10,3,8,,79,1,1,,0.896,,,
1,10,3,8,,80,1,1,,0.896,,,
1,10,3,8,,81,1,1,,0.896,,,
1,10,3,8,,82,1,1,,0.896,,,
1,10,3,8,,83,1,1,,0.896,,,
1,10,3,8,,84,1,1,,0.896,,,
1,1,1,1,,85,1,1,,0.864,,,
1,1,1,1,,86,1,1,,0.864,,,
1,8,1,8,,87,1,1,,0.846,,,
1,6,1,6,,88,1,1,,0.74,,,
1,6,1,6,,89,1,1,,0.74,,,
1,6,1,6,,90,1,1,,0.74,,,
1,6,1,6,,91,1,1,,0.74,,,
1,6,1,6,,92,1,1,,0.74,,,
1,6,1,6,,93,1,1,,0.74,,,
1,6,1,6,,94,1,1,,0.74,,,
1,6,1,6,,95,1,1,,0.74,,,
1,6,1,6,,96,1,1,,0.74,,,
1,6,1,6,,97,1,1,,0.74,,,
2,6,1,6,,98,2,1,+,0.74,,,
2,6,1,6,,99,2,1,+,0.74,,,
2,7,1,7,,100,2,1,+,0.871,,,
2,8,1,8,,101,2,1,+,0.846,,,
2,6,1,6,,102,2,1,+,0.74,,,
2,9,2,5,,103,2,2,,0.815,,,
2,18,1,18,,104,2,1,+,0.76,,,
2,12,2,6,,105,2,2,,0.93,,,
2,12,2,6,,106,2,2,,0.93,,,
2,12,2,6,,107,2,2,,0.93,,,
2,12,2,6,,108,2,2,,0.93,,,
2,12,2,6,,109,2,2,,0.93,,,
2,12,2,6,,110,2,2,,0.93,,,
2,12,2,6,,111,2,2,,0.93,,,
2,12,2,6,,112,2,2,,0.93,,,
2,12,2,6,,113,2,2,,0.93,,,
2,12,2,6,,114,2,2,,0.93,,,
3,12,2,6,,115,3,2,+,0.93,,,
3,14,1,14,,116,3,1,+,0.687,,,
3,19,4,16,,117,3,1,+,0.495,,,
3,16,1,16,,118,3,1,+,0.754,,,
3,21,3,19,,119,3,1,+,0.535,,,
3,14,1,14,,120,3,1,+,0.687,,,
3,23,2,17,,121,3,2,+,0.553,,,
3,21,2,16,,122,3,2,+,0.449,,,
3,26,2,25,,123,3,2,+,0.591,,,
3,28,3,25,,124,3,3,,0.775,,,
3,28,3,25,,125,3,3,,0.775,,,
3,28,3,25,,126,3,3,,0.775,,,
3,28,3,25,,127,3,3,,0.775,,,
3,28,3,25,,128,3,3,,0.775,,,
3,28,3,25,,129,3,3,,0.775,,,
3,17,3,7,,130,3,2,+,0.608,,,
3,21,1,21,,131,3,1,+,0.688,,,
3,15,4,7,,132,3,2,+,0.787,,,
3,15,4,7,,133,3,2,+,0.787,,,
3,15,4,7,,134,3,2,+,0.787,,,
2,15,4,7,,135,2,2,,0.787,,,
2,15,4,7,,136,2,2,,0.787,,,
2,15,4,7,,137,2,2,,0.787,,,
2,15,4,7,,138,2,2,,0.787,,,
2,15,4,7,,139,2,2,,0.787,,,
2,15,4,7,,140,2,2,,0.787,,,
2,15,4,7,,141,2,2,,0.787,,,
2,15,4,7,,142,2,2,,0.787,,,
2,15,4,7,,143,2,2,,0.787,,,
2,15,4,7,,144,2,2,,0.787,,,
2,15,4,7,,145,2,2,,0.787,,,
2,17,3,13,,146,2,1,+,0.696,,,
2,12,2,8,,147,2,2,,0.884,,,
2,16,3,7,,148,2,2,,0.757,,,
2,10,2,6,,149,2,2,,0.864,,,
2,12,2,7,,150,2,2,,0.928,,,
2,13,2,8,,151,2,2,,0.919,,,
2,13,2,7,,152,2,2,,0.947,,,
2,16,2,9,,153,2,2,,0.904,,,
2,11,2,6,,154,2,2,,0.932,,,
2,11,2,6,,155,2,2,,0.932,,,
2,11,2,6,,156,2,2,,0.932,,,
2,11,2,6,,157,2,2,,0.932,,,
2,11,2,6,,158,2,2,,0.932,,,
2,11,2,6,,159,2,2,,0.932,,,
