numpeople,numactive,numconnected,sizeconnected
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,?,?,?
0,0,0,?
0,0,0,?
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1,0,0,?
1,10,2,9
2,10,2,9
2,10,2,9
2,10,2,9
2,10,2,9
2,10,2,9
2,10,2,9
2,21,2,15
2,16,2,9
2,18,2,11
2,26,2,16
2,22,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,23,2,13
2,20,2,12
2,23,2,13
2,16,2,10
2,24,3,13
2,22,2,13
2,25,2,15
2,16,2,9
2,24,2,14
2,19,2,11
2,21,2,13
2,21,2,13
2,21,2,13
2,21,2,13
2,21,2,13
2,21,2,12
2,24,2,14
0,17,2,15
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
