@relation thirdexp-nominal-exp1-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0_predicted

@attribute predictednpeople {0,1,2,3}
@attribute npeople {0,1,2,3}
@attribute numactive numeric
@attribute numconnected numeric
@attribute sizeconnected numeric

@data
0,1,4,2,3
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,7,1,7
1,1,7,1,7
1,1,1,1,1
0,0,2,2,1
1,0,0,0,?
1,0,1,1,1
1,0,0,0,?
1,0,1,1,1
1,0,0,0,?
1,1,7,1,7
1,1,7,1,7
1,1,4,2,3
1,1,1,1,1
1,1,7,1,7
1,1,7,1,7
1,1,10,1,10
1,0,0,0,?
1,0,4,2,3
1,0,0,0,?
1,0,4,2,3
0,0,2,2,1
1,1,7,1,7
1,1,7,1,7
1,1,7,1,7
1,1,7,1,7
0,1,4,2,3
1,1,7,1,7
1,0,0,0,?
1,0,1,1,1
0,0,2,2,1
0,0,2,2,1
1,0,0,0,?
1,0,0,0,?
1,1,7,1,7
1,1,3,1,3
1,1,7,1,7
1,1,7,1,7
1,1,4,2,3
1,1,7,1,7
1,0,0,0,?
1,0,0,0,?
1,0,4,2,3
0,0,2,2,1
1,0,0,0,?
1,0,0,0,?
1,1,7,1,7
1,1,7,1,7
1,1,1,1,1
1,1,7,1,7
1,1,7,1,7
1,1,4,2,3
1,0,1,1,1
1,0,4,2,3
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,1,7,1,7
1,1,7,1,7
1,1,7,1,7
1,1,7,1,7
1,1,1,1,1
0,1,4,2,3
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,1,7,1,7
1,1,7,1,7
1,1,1,1,1
1,1,7,1,7
1,1,1,1,1
1,1,7,1,7
0,0,2,2,1
0,0,2,2,1
1,0,0,0,?
1,0,0,0,?
1,0,1,1,1
1,0,0,0,?
1,1,7,1,7
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,7,1,7
1,1,7,1,7
1,0,0,0,?
1,0,4,2,3
1,0,0,0,?
1,0,0,0,?
1,0,4,2,3
1,0,0,0,?
1,1,7,1,7
1,1,10,1,10
1,1,7,1,7
1,1,7,1,7
1,1,7,1,7
1,1,10,1,10
1,0,0,0,?
1,0,0,0,?
1,0,1,1,1
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,1,7,1,7
0,1,4,2,3
1,1,7,1,7
1,1,3,1,3
1,1,7,1,7
1,1,1,1,1
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,0,0,?
1,0,1,1,1
